0.37721142087033366	0.6227885791296663	SRR7993842	last	Brazil
0.20066151106167202	0.799338488938328	SRR7993842	last trained	Brazil
0.2520273926687639	0.7479726073312362	SRR7993842	bowtie2	Brazil
0.22040004830008958	0.7795999516999104	SRR7993843	last	Brazil
0.09814662133926655	0.9018533786607335	SRR7993843	last trained	Brazil
0.18757594491462193	0.8124240550853781	SRR7993843	bowtie2	Brazil
0.2744423043087722	0.7255576956912279	SRR7993845	last	Brazil
0.15175686091488294	0.8482431390851171	SRR7993845	last trained	Brazil
0.225654468371068	0.774345531628932	SRR7993845	bowtie2	Brazil
0.49803101156780705	0.501968988432193	SRR7993846	last	Brazil
0.30986753515172394	0.6901324648482761	SRR7993846	last trained	Brazil
0.43120080259299276	0.5687991974070072	SRR7993846	bowtie2	Brazil
